Requirement ID,Category,Requirement Title,Description,Compliance Deadline,Applicability
2-15-3-4,Cybersecurity Defense - Web Application Security,Secure Usage Policy,Clarification of the secure usage policy for users.,,All entities
2-15-3-5,Cybersecurity Defense - Web Application Security,User Authentication,User authentication and the suitable authentication factors and their numbers as well as the authentication techniques shall be defined based on the result of impact assessment of authentication failure and bypass for users' access.,,All entities
2-15-4,Cybersecurity Defense - Web Application Security,Web Application Security Review,Cybersecurity requirements for protection of web applications of the entity shall be periodically reviewed.,,All entities
3-1-1,Cybersecurity Resilience - Business Continuity Management,BCM Cybersecurity Requirements,Cybersecurity requirements for business continuity management within the entity shall be identified documented and approved.,,All entities
3-1-2,Cybersecurity Resilience - Business Continuity Management,BCM Implementation,Cybersecurity requirements for business continuity management within the entity shall be implemented.,,All entities
3-1-3,Cybersecurity Resilience - Business Continuity Management,BCM Minimum Requirements,Cybersecurity requirements for business continuity management within the entity shall include the following as a minimum.,,All entities
3-1-3-1,Cybersecurity Resilience - Business Continuity Management,Cybersecurity Systems Continuity,Ensuring the continuity of cybersecurity systems and procedures.,,All entities
3-1-3-2,Cybersecurity Resilience - Business Continuity Management,Incident Response Plans,Developing plans for response to cybersecurity incidents that may affect the entity's business continuity.,,All entities
3-1-3-3,Cybersecurity Resilience - Business Continuity Management,Disaster Recovery Plans,Developing disaster recovery plans.,,All entities
3-1-4,Cybersecurity Resilience - Business Continuity Management,BCM Review,Cybersecurity requirements for business continuity management within the entity shall be periodically reviewed.,,All entities
4-1-1,Third-Party and Cloud Cybersecurity - Third-Party Cybersecurity,Third-Party Requirements,Cybersecurity requirements for the entity's contracts and agreements with third parties shall be identified documented and approved.,,All entities
4-1-2,Third-Party and Cloud Cybersecurity - Third-Party Cybersecurity,Third-Party Contract Requirements,Cybersecurity requirements for contracts and agreements with third parties e.g. Service Level Agreement which if impaired may affect the entity's data or services shall include the following as a minimum.,,All entities
4-1-2-1,Third-Party and Cloud Cybersecurity - Third-Party Cybersecurity,Non-Disclosure Clauses,Clauses of non-disclosure and the secure removal of the entity's data by the third party upon the end of service.,,All entities
4-1-2-2,Third-Party and Cloud Cybersecurity - Third-Party Cybersecurity,Incident Communication Procedures,Communication procedures in case of the occurrence of a cybersecurity incident.,,All entities
4-1-2-3,Third-Party and Cloud Cybersecurity - Third-Party Cybersecurity,Third-Party Compliance Obligation,Obligating the third party to apply the entity's cybersecurity requirements and policies and the relevant legislative and regulatory requirements.,,All entities
4-1-3,Third-Party and Cloud Cybersecurity - Third-Party Cybersecurity,Outsourcing Requirements,Cybersecurity requirements for contracts and agreements with third parties providing IT or cybersecurity outsourcing or managed services shall include the following as a minimum.,,All entities
4-1-3-1,Third-Party and Cloud Cybersecurity - Third-Party Cybersecurity,Third-Party Risk Assessment,Conducting a cybersecurity risk assessment and ensuring the availability of risk mitigation controls before signing contracts and agreements or upon making changes to the relevant legislative and regulatory requirements.,,All entities
4-1-3-2,Third-Party and Cloud Cybersecurity - Third-Party Cybersecurity,Service Center Location,Cybersecurity managed service centers for monitoring and operations which use remote access shall be fully located in the Kingdom of Saudi Arabia.,,All entities
4-1-4,Third-Party and Cloud Cybersecurity - Third-Party Cybersecurity,Third-Party Requirements Review,Cybersecurity requirements for third parties shall be periodically reviewed.,,All entities
4-2-1,Third-Party and Cloud Cybersecurity - Cloud Computing and Hosting,Cloud Requirements,Cybersecurity requirements for use of cloud computing and hosting services shall be identified documented and approved.,,Cloud users
4-2-2,Third-Party and Cloud Cybersecurity - Cloud Computing and Hosting,Cloud Implementation,Cybersecurity requirements for the cloud computing and hosting services within the entity shall be implemented.,,Cloud users
4-2-3,Third-Party and Cloud Cybersecurity - Cloud Computing and Hosting,Cloud Minimum Requirements,In accordance with the relevant legislative and regulatory requirements and in addition to the applicable controls in the Main Domains (1) (2) and (3) and Subdomain (4.1) that are necessary to protect the entity's data or services provided thereto cybersecurity requirements for use of cloud computing and hosting services shall include the following as a minimum.,,Cloud users
4-2-3-1,Third-Party and Cloud Cybersecurity - Cloud Computing and Hosting,Cloud Data Protection,Protection of entity's data by cloud and hosting service providers in accordance with its classification level and returning data (in a usable format) upon service completion.,,Cloud users
4-2-3-2,Third-Party and Cloud Cybersecurity - Cloud Computing and Hosting,Environment Separation,Separation of the entity's environment (especially virtual servers) from environments of other entities within the cloud computing service provider.,,Cloud users
4-2-4,Third-Party and Cloud Cybersecurity - Cloud Computing and Hosting,Cloud Requirements Review,Cybersecurity requirements for cloud computing and hosting services shall be periodically reviewed.,,Cloud users
